Filename,Source,Name,Author,Date,BrawlVaultLink,DirectLink,Imported,Notes
STGCUSTOM25,Super Smash Bros. Brawl,Online Practice Stage,,,,,,
STGCUSTOM26,Super Smash Bros. Melee,Venom,"Mewtwo2000, libertyernie",08/03/12,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=27193,http://www.mediafire.com/?wwiqq7t5vpc86,,
STGCUSTOM02,Super Smash Bros. for Wii U,Mario Galaxy,DSX8,05/11/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208029,https://onedrive.live.com/download.aspx?cid=2E29852C568B1E25&resid=2e29852c568b1e25%211403&canary=P4oGdVKovi3%2Bv9rScs3w33AAsSBT4b5XquRYXTgdEBE%3D4,TRUE,
STGCUSTOM03,Super Smash Bros. for Wii U,Jungle Hijinx,"DSX8, jaystring",04/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208684,https://mega.nz/#!U4dG3bBY!iK6Myf8PwM64UATHbh65oxt9Q-TgIdKWFx5VEixss3I,TRUE,
STGCUSTOM04,Super Smash Bros. for 3DS,Gerudo Valley,DSX8,12/10/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210278,https://www.dropbox.com/s/zukd97l4u3vreko/Gerudo%20Valley%20%28Smash3ds%29.rar?dl=0,TRUE,
STGCUSTOM05,Super Smash Bros. for Wii U,Pyrosphere,Edwguard Flows,08/29/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208079,https://www.dropbox.com/s/c9bg7yaalu0ubnr/Pyrosphere.rar?dl=0,TRUE,
STGCUSTOM06,Super Smash Bros. for Wii U,Kalos Pokémon League,"Ebola16, DSX8, soopercool101, Edwguard Flows",04/05/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211405,http://www.mediafire.com/download/avjz5hwhrpf80ka/Kalos+League+%28Item+Spawning+Added+%2B+Non-PM+Fix%29.rar,TRUE,
STGCUSTOM07,Super Smash Bros. for 3DS,Suzaku Castle,"DSX8, jaystring",04/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210383,https://mega.nz/#!51ESDJzb!3AQ-sB-EQ94MV446WKG06Ug8ZL7DbXq7miV_zL79YSU,TRUE,
STGCUSTOM08,Super Smash Bros.,Peach’s Castle,"DSX8, Edwguard Flows",01/12/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210393,https://www.dropbox.com/s/r8jo5ttmrmb33eu/Peach%27s%20Castle%2064%20%28SmashU%29.rar?dl=0,TRUE,
STGCUSTOM09,Super Smash Bros.,Kongo Jungle,Edwguard Flows,12/05/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=213059,https://www.dropbox.com/s/5d969sq4mjb6up9/Edwguard%20Flows%20-%20Kongo%20Jungle%2064%20%28Smash%20U%29.rar?dl=0,TRUE,Barrel removed
STGCUSTOM0A,Super Smash Bros.,Hyrule Castle,"Edwguard Flows, DSX8",10/25/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209491,https://www.dropbox.com/s/vw3bcbs0s5iyuov/Hyrule%20Castle%2064%20%28Wii%20U%29.rar?dl=0,TRUE,
STGCUSTOM0B,Super Smash Bros.,Planet Zebes,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM0C,Super Smash Bros.,Mushroom Kingdom,Mewtwo2000,09/25/14,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=3698,http://www.mediafire.com/?9rx4f7m0p0k0q,,This version has falling platforms and the possible pipe trap (STGMUSHROOM64_FALL_TRAP)
STGCUSTOM0D,Super Smash Bros.,Yoshi’s Island,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM0E,Super Smash Bros.,Dream Land,Edwguard Flows,10/25/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209944,https://www.dropbox.com/s/jj19711g5airiad/Dream%20Land%2064%20-%20Smash%20U.rar?dl=0,TRUE,
STGCUSTOM0F,Super Smash Bros.,Sector Z,Mewtwo2000,03/23/14,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=9156,http://www.mediafire.com/?1svcksolf4n6a,,
STGCUSTOM10,Super Smash Bros.,Saffron City,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM11,Super Smash Bros.,Metal Cavern,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM12,Super Smash Bros.,How to Play,Mewtwo2000,11/07/13,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=34859,http://www.mediafire.com/folder/ob5i3c0bcbfuf/How_To_Play,,
STGCUSTOM13,Super Smash Bros. Melee,Princess Peach’s Castle,Mewtwo2000,08/31/13,From Project M 3.5,http://www.mediafire.com/folder/3vx7u8vddl4fw/Peach,,
STGCUSTOM14,Super Smash Bros. Melee,Great Bay,"Ryan, Mewtwo2000, DSX8",09/04/13,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=22800,http://www.mediafire.com/folder/xd4ddfssmq1cc/Great_Bay,,Balloon removed; no swimmable water
STGCUSTOM15,Super Smash Bros. Melee,Kongo Jungle,"Theytah, Oshtoby, Canon98",02/20/14,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=35815,https://www.mediafire.com/folder/w9gi7n8jgkffn/Fixed_Kongo_Jungle_Melee,,
STGCUSTOM16,Super Smash Bros. Melee,Yoshi’s Story,"Mewtwo2000, Oshtoby, Strong_Bad, MonkUnit",,From Project M 3.6,,,
STGCUSTOM17,Super Smash Bros. Melee,Fountain of Dreams,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM18,Super Smash Bros. Melee,Flat Zone,"davidvkimball, ɴᴇᴢʜᴀ, WorseDoughnut",08/22/17,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=213110,https://modulous.net/mod/1118/Flat%20Zone%20%28Melee%29,,
STGCUSTOM19,Super Smash Bros. Melee,Icicle Mountain,DSX8,09/09/14,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=35490 ,https://onedrive.live.com/download.aspx?cid=2E29852C568B1E25&resid=2E29852C568B1E25%21389&canary=ANlixfgM751z3KfQUa7uSlCprXrHcj7SfpyVTRaXZXk%3D5,,
STGCUSTOM1A,Super Smash Bros. Melee,Brinstar Depths (0°),"libertyernie, DSX8, Mewtwo2000, AGFanProduction, LegacyWolf",01/23/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=207515,http://www.mediafire.com/download/14cr5ohhet7to22/Brinstar_Depths_Gamma.zip,,
STGCUSTOM1B,Super Smash Bros. Melee,Mushroom Kingdom,Mewtwo2000,11/17/11,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=13602,http://www.mediafire.com/?4aibbrx3gqfkx,,
STGCUSTOM1C,Super Smash Bros. Melee,Fourside,Mewtwo2000,,From Project M 3.6,,,
STGCUSTOM1D,Super Smash Bros. Melee,Mushroom Kingdom II,Oshtoby,11/23/11,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=23341 ,http://www.mediafire.com/?762aenqrdhqex67,,
STGCUSTOM1E,Super Smash Bros. Melee,Trophy Room,Mewtwo2000,09/25/14,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=30224 ,http://www.mediafire.com/?dwwo8x1y81dg0,,
STGCUSTOM1F,Super Smash Bros. for 3DS,Magicant,DSX8,11/18/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210060,https://www.dropbox.com/s/nec5u36chiasikt/Magicant%20%28Smash3ds%29.rar?dl=0,TRUE,vBrawl version
STGCUSTOM20,Super Smash Bros. for Wii U,Wii Fit Studio,DSX8,04/01/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=211340,https://mega.nz/#!g4E13DZC!s5JK21jBmFGvA_po5qEW2wVycZC14yFjtqF8GvhQ6cs,TRUE,
STGCUSTOM21,Super Smash Bros. for Wii U,Gaur Plain,DSX8,01/23/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208677,https://www.dropbox.com/s/cb3kgpgit6ceaxm/Gaur%20Plains%20%28SmashU%29.rar?dl=0,TRUE,Springs positioned using CHR0 animations
STGCUSTOM22,Super Smash Bros. for Wii U,Windy Hill Zone,DSX8,03/24/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=208063,https://onedrive.live.com/download.aspx?cid=2E29852C568B1E25&resid=2E29852C568B1E25%211406&canary=P4oGdVKovi3%2Bv9rScs3w33AAsSBT4b5XquRYXTgdEBE%3D7,TRUE,
STGCUSTOM23,Super Smash Bros. for Wii U,Midgar,"DSX8, jaystring, Edwguard Flows",04/16/16,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=210367,https://mega.nz/#!NgdjiJCT!jXy22V_LSS9CHfUShPxTKz_iWoEWLqWfRHfCa1twXvU,TRUE,
STGCUSTOM24,Super Smash Bros. for Wii U,Miiverse,DSX8,07/27/15,http://forums.kc-mm.com/Gallery/BrawlView.php?Number=209180,https://www.dropbox.com/s/nvg995qvnunpb0w/Miiverse%20%28SmashU%29.rar?dl=0,TRUE,
